Model,Language,Accuracy,Recall,Precision,F1
seallm,thai,70.96,73.29,84.56,66.85
seallm,indonesian,81.18,89.97,84.33,76.27
seallm,vietnamese,86.41,96.3,86.28,81.59
seallm,tagalog,78.81,92.49,80.66,70.42
seallm,malay,77.75,92.14,79.7,68.97
seallm,mandarin,81.8,86.35,90.37,73.61
seallm,singlish,77.04,85.59,85.05,66.33
seallm,tamil,74.1,96.21,74.74,56.93
sealion,thai,64.42,57.73,89.39,63.05
sealion,indonesian,63.11,54.18,89.15,62.46
sealion,vietnamese,71.14,65.02,92.3,69.7
sealion,tagalog,61.68,53.75,87.87,60.79
sealion,malay,62.7,56.17,86.62,61.58
sealion,mandarin,63.74,58.8,93.13,60.18
sealion,singlish,64.17,59.6,91.47,60.95
sealion,tamil,72.6,74.84,84.95,68.98
ministral,thai,72.94,76.43,84.72,68.43
ministral,indonesian,73.43,76.88,84.01,69.77
ministral,vietnamese,82.97,87.05,88.88,79.44
ministral,tagalog,73.06,79.95,81.89,67.58
ministral,malay,75.64,85.71,81.08,69.06
ministral,mandarin,77.01,80.29,89.75,68.98
ministral,singlish,76.1,79.99,88.24,68.7
ministral,tamil,70.32,81.76,77.77,62.22
llama3b,thai,71.73,70.45,88.15,68.87
llama3b,indonesian,71.54,73.32,84.21,68.37
llama3b,vietnamese,81.26,81.33,91.5,78.66
llama3b,tagalog,66.9,64.91,85.2,64.54
llama3b,malay,72.96,79.59,81.85,67.77
llama3b,mandarin,75.92,77.88,90.56,68.67
llama3b,singlish,83.14,91.15,87.7,74.15
llama3b,tamil,69.01,73.92,80.97,64.26
llama8b,thai,69.42,69.64,85.45,66.05
llama8b,indonesian,59.09,51.88,83.84,58.28
llama8b,vietnamese,73.61,72.7,88.29,70.94
llama8b,tagalog,65.44,66.35,81.81,62.2
llama8b,malay,69.7,73.83,81.75,65.42
llama8b,mandarin,75.31,79.45,88.36,66.52
llama8b,singlish,75.49,80.84,86.81,67.08
llama8b,tamil,73.41,94.97,74.65,56.75
pangea,thai,49.03,41.35,77.93,48.42
pangea,indonesian,71.05,73.42,83.47,67.68
pangea,vietnamese,72.43,72.65,86.6,69.43
pangea,tagalog,63.59,63.04,81.79,60.86
pangea,malay,71.8,81.07,79.61,65.26
pangea,mandarin,71.82,73.64,89.08,64.48
pangea,singlish,65.28,70.86,82.14,56.37
pangea,tamil,55.85,59.36,73.62,51.84
gemma,thai,76.36,74.88,90.88,73.64
gemma,indonesian,77.94,75.97,91.22,75.91
gemma,vietnamese,82.33,81.4,92.98,80.02
gemma,tagalog,72.9,70.69,89.09,70.58
gemma,malay,76.55,82.45,84.21,71.92
gemma,mandarin,71.43,68.88,93.54,66.53
gemma,singlish,75.21,76.88,89.86,69.05
gemma,tamil,75.34,77.87,86.22,71.73
qwen,thai,73.32,72.32,88.77,70.39
qwen,indonesian,64.15,54.94,90.35,63.52
qwen,vietnamese,81.08,80.86,91.68,78.54
qwen,tagalog,62.26,54.13,88.56,61.39
qwen,malay,69.48,69.9,84.46,66.5
qwen,mandarin,73.89,73.75,91.85,67.77
qwen,singlish,77.56,80.38,89.76,70.93
qwen,tamil,58.9,58.66,78.27,56.21
seagemma,thai,76.69,76.92,89.43,73.49
seagemma,indonesian,78.71,78.49,89.99,76.32
seagemma,vietnamese,82.65,83.29,91.66,80
seagemma,tagalog,75.28,76.76,87.08,71.97
seagemma,malay,77.38,83.42,84.54,72.78
seagemma,mandarin,73.22,72.42,92.28,67.44
seagemma,singlish,77.23,80.21,89.49,70.48
seagemma,tamil,79.24,85.01,85.75,74.78
gemini,thai,74.84,74.22,89.24,71.83
gemini,indonesian,77.18,74.49,91.51,75.29
gemini,vietnamese,79.75,79.81,90.73,77.05
gemini,tagalog,65.22,58.24,89.33,64.06
gemini,malay,80.39,86.73,85.82,75.98
gemini,mandarin,78.99,80.78,91.84,72.1
gemini,singlish,85.65,89.94,91.5,79.56
gemini,tamil,81.47,89.88,85.01,76.3
gpt,thai,80.78,83.19,89.53,77.17
gpt,indonesian,84.79,90.13,88.48,81.52
gpt,vietnamese,87.94,92.76,90.58,84.94
gpt,tagalog,79.75,86.91,85.05,74.8
gpt,malay,83.15,92.24,85.24,78.12
gpt,mandarin,82.55,84.63,92.82,76.01
gpt,singlish,86.72,93.91,89.56,79.38
gpt,tamil,82.63,83.44,91.46,79.98
deepseek,thai,58.75,45.99,94,58.49
deepseek,indonesian,59.91,45.7,94.52,59.83
deepseek,vietnamese,67.39,57.36,95.02,66.68
deepseek,tagalog,53.86,38.34,92.83,53.86
deepseek,malay,65.02,57.6,89.39,64.01
deepseek,mandarin,57.86,49.77,94.86,55.84
deepseek,singlish,69.42,65.9,92.77,65.6
deepseek,tamil,62.87,52.16,92.51,62.37
