Model,Language,Accuracy,Recall,Precision,F1
seallm,thai,74.36,73.11999999999999,89.57000000000001,71.52
seallm,indonesian,67.24,59.38,90.92,66.34
seallm,vietnamese,88.74,95.7,89.3,85.37
seallm,tagalog,79.25999999999999,86.17,84.99,74.33999999999999
seallm,malay,74.45,77.7,85.04,70.65
seallm,mandarin,78.12,81.76,89.85,69.97
seallm,singlish,83.55,90.08,88.94999999999999,75.68
seallm,tamil,64.92,63.1,83.7,62.56
sealion,thai,77.09,75.64999999999999,91.22,74.38
sealion,indonesian,71.48,65.66,91.4,70.17
sealion,vietnamese,89.14999999999999,95.67,89.8,85.98
sealion,tagalog,81.62,89.68,85.33,76.57000000000001
sealion,malay,79.49000000000001,85.97,85.27,74.92
sealion,mandarin,79.82000000000001,83.58,90.35,71.82
sealion,singlish,86.64,92.25,90.77,80.16
sealion,tamil,80.39,88.47,84.72,75.19
ministral,thai,62.08,51.800000000000004,92.58999999999999,61.42999999999999
ministral,indonesian,58.18,47.81,86.88,57.830000000000005
ministral,vietnamese,87.14,93.16,89.3,83.69
ministral,tagalog,77.02,83.43,84.23,72.07000000000001
ministral,malay,70.97,71.22,85.49,68.05
ministral,mandarin,73.94,75.39,90.28,66.9
ministral,singlish,79.80000000000001,82.44,90.8,73.50999999999999
ministral,tamil,72.1,75.11,84.07,68.19
llama3b,thai,67.04,61.06,90.3,65.46
llama3b,indonesian,57.34,45.32,88.42999999999999,57.16
llama3b,vietnamese,86.71,92.74,89.11,83.19
llama3b,tagalog,76.39,80.53,85.55,72.25
llama3b,malay,65.06,59.74,87.0,63.629999999999995
llama3b,mandarin,72.85000000000001,73.64,90.49000000000001,66.18
llama3b,singlish,76.1,75.99000000000001,91.95,70.87
llama3b,tamil,68.43,67.97,84.75,65.63
llama8b,thai,77.01,76.66,90.12,73.99
llama8b,indonesian,61.38,49.669999999999995,91.62,61.09
llama8b,vietnamese,88.33,95.25,89.16,84.88
llama8b,tagalog,80.60000000000001,91.83,82.85,73.94
llama8b,malay,80.54,92.09,82.53,73.94
llama8b,mandarin,80.94,86.72999999999999,89.03999999999999,71.67
llama8b,singlish,87.33,95.36,89.14,79.69000000000001
llama8b,tamil,76.34,95.35,76.98,63.260000000000005
pangea,thai,64.37,56.720000000000006,90.58,63.21
pangea,indonesian,61.62,49.54,92.41,61.370000000000005
pangea,vietnamese,87.32,92.54,89.99000000000001,84.11999999999999
pangea,tagalog,76.49000000000001,80.47,85.72,72.42
pangea,malay,72.78,72.96000000000001,86.61,69.91000000000001
pangea,mandarin,74.72,77.18,89.63,67.08
pangea,singlish,79.35,82.97,89.77000000000001,72.48
pangea,tamil,66.77,67.47999999999999,82.75,63.61
gemma,thai,72.98,67.80000000000001,93.01,71.14
gemma,indonesian,70.74000000000001,63.800000000000004,92.25,69.64
gemma,vietnamese,88.92999999999999,92.86,91.75,86.32
gemma,tagalog,80.67999999999999,88.27000000000001,85.2,75.67
gemma,malay,76.84,79.64,86.67,73.32
gemma,mandarin,76.37,77.74,91.29,69.5
gemma,singlish,87.52,93.73,90.59,81.0
gemma,tamil,82.21000000000001,86.74,88.13,78.5
qwen,thai,71.38,67.05,91.09,69.34
qwen,indonesian,67.95,60.74,90.64,66.93
qwen,vietnamese,87.39,95.35,88.0,83.44
qwen,tagalog,77.78,85.56,83.67999999999999,72.33000000000001
qwen,malay,80.43,88.42,84.7,75.4
qwen,mandarin,74.86,78.86,88.32,66.14999999999999
qwen,singlish,82.78,86.33,91.11,76.46
qwen,tamil,69.51,76.03,80.19,64.05999999999999
seagemma,thai,69.54,62.5,93.22,68.14
seagemma,indonesian,63.14999999999999,50.9,94.0,62.88
seagemma,vietnamese,88.99000000000001,93.11,91.61,86.33999999999999
seagemma,tagalog,78.99000000000001,83.81,86.37,74.83
seagemma,malay,71.73,68.78,88.92,69.67999999999999
seagemma,mandarin,71.15,70.98,90.78,65.01
seagemma,singlish,85.28999999999999,88.81,92.04,79.49000000000001
seagemma,tamil,80.86,85.06,87.72,77.10000000000001
